Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-12-12 00:00:00-05:00,96.27054873110019,96.2791519165039,96.26481813472111,96.2791519165039,16700,0.0,0.0,0.0
2023-12-13 00:00:00-05:00,96.29826254195027,96.30782082688417,96.27915326291767,96.28871154785156,337300,0.0,0.0,0.0
2023-12-14 00:00:00-05:00,96.3460383140177,96.3460383140177,96.33170453327847,96.34126281738281,12800,0.0,0.0,0.0
2023-12-15 00:00:00-05:00,96.35559710251374,96.35559710251374,96.336480534205,96.34603881835938,10100,0.0,0.0,0.0
2023-12-18 00:00:00-05:00,96.34604016541903,96.35559844970703,96.34604016541903,96.35559844970703,10100,0.0,0.0,0.0
2023-12-19 00:00:00-05:00,96.35560080479941,96.38426836752944,96.35560080479941,96.37471008300781,11800,0.0,0.0,0.0
2023-12-20 00:00:00-05:00,96.37471378382537,96.40338134765625,96.37471378382537,96.40338134765625,20400,0.0,0.0,0.0
2023-12-21 00:00:00-05:00,96.44160646477533,96.45976793500957,96.44160646477533,96.45594024658203,29000,0.0,0.0,0.0
2023-12-22 00:00:00-05:00,96.44733857449562,96.47026824951172,96.4416006876156,96.47026824951172,27000,0.0,0.0,0.0
2023-12-26 00:00:00-05:00,96.4607172561028,96.47982653375531,96.4607172561028,96.47026824951172,19700,0.0,0.0,0.0
2023-12-27 00:00:00-05:00,96.47028619895204,96.4894027709961,96.47028619895204,96.4894027709961,12000,0.0,0.0,0.0
2023-12-28 00:00:00-05:00,96.54982669366863,96.54982669366863,96.53255869317807,96.54023742675781,11300,0.403,0.0,0.0
2023-12-29 00:00:00-05:00,96.55941772460938,96.5642123577889,96.54982113819966,96.55941772460938,7200,0.0,0.0,0.0
2024-01-02 00:00:00-05:00,96.57861208945785,96.57861208945785,96.56901550292969,96.56901550292969,42600,0.0,0.0,0.0
2024-01-03 00:00:00-05:00,96.58820462164347,96.5978012084961,96.56997769466938,96.5978012084961,37600,0.0,0.0,0.0
2024-01-04 00:00:00-05:00,96.62659454345703,96.62659454345703,96.61699795552241,96.62659454345703,7900,0.0,0.0,0.0
2024-01-05 00:00:00-05:00,96.6457748413086,96.6457748413086,96.6361782546527,96.6457748413086,17400,0.0,0.0,0.0
2024-01-08 00:00:00-05:00,96.66497802734375,96.66497802734375,96.65538143896713,96.66497802734375,110000,0.0,0.0,0.0
2024-01-09 00:00:00-05:00,96.6755194735679,96.67935518033948,96.66400503320206,96.674560546875,18300,0.0,0.0,0.0
2024-01-10 00:00:00-05:00,96.67456142878434,96.68415069580078,96.6659237684184,96.68415069580078,23300,0.0,0.0,0.0
2024-01-11 00:00:00-05:00,96.72252436859992,96.74171754167241,96.72252436859992,96.7369155883789,15400,0.0,0.0,0.0
2024-01-12 00:00:00-05:00,96.76091766357422,96.76091766357422,96.74173180772324,96.76091766357422,13400,0.0,0.0,0.0
2024-01-16 00:00:00-05:00,96.78010439981286,96.78010439981286,96.76091122518713,96.7705078125,61200,0.0,0.0,0.0
2024-01-17 00:00:00-05:00,96.7896957397461,96.7896957397461,96.78010647227923,96.7896957397461,12100,0.0,0.0,0.0
2024-01-18 00:00:00-05:00,96.82135910723163,96.82807159423828,96.81848232708592,96.82807159423828,17100,0.0,0.0,0.0
2024-01-19 00:00:00-05:00,96.83766381691886,96.85684967041016,96.83766381691886,96.85684967041016,9700,0.0,0.0,0.0
2024-01-22 00:00:00-05:00,96.85684967041016,96.85684967041016,96.83766381691886,96.85684967041016,28300,0.0,0.0,0.0
2024-01-23 00:00:00-05:00,96.86645626868236,96.87605285644531,96.8568596809194,96.87605285644531,10400,0.0,0.0,0.0
2024-01-24 00:00:00-05:00,96.89523871191953,96.89523871191953,96.86645626868236,96.87605285644531,29400,0.0,0.0,0.0
2024-01-25 00:00:00-05:00,96.9144155271591,96.93360137939453,96.9144155271591,96.93360137939453,11300,0.0,0.0,0.0
2024-01-26 00:00:00-05:00,96.94800261183703,96.95280456542969,96.93361139116145,96.95280456542969,8000,0.0,0.0,0.0
2024-01-29 00:00:00-05:00,96.94320797829558,96.96143490580431,96.9374470979946,96.95280456542969,24200,0.0,0.0,0.0
2024-01-30 00:00:00-05:00,96.95279901016353,96.97198486328125,96.95279901016353,96.97198486328125,7900,0.0,0.0,0.0
2024-01-31 00:00:00-05:00,96.98158471508398,97.00077056884766,96.96815242143411,97.00077056884766,23000,0.0,0.0,0.0
2024-02-01 00:00:00-05:00,97.02486371567431,97.04508972167969,97.01619122763422,97.04508972167969,67000,0.406,0.0,0.0
2024-02-02 00:00:00-05:00,97.04508972167969,97.04508972167969,97.03546179004196,97.04508972167969,8600,0.0,0.0,0.0
2024-02-05 00:00:00-05:00,97.0258265088381,97.04508972167969,97.0258265088381,97.04508972167969,43200,0.0,0.0,0.0
2024-02-06 00:00:00-05:00,97.04509137362668,97.07398986816406,97.04509137362668,97.07398986816406,21300,0.0,0.0,0.0
2024-02-07 00:00:00-05:00,97.0643532980885,97.08361650954367,97.05471801757812,97.05471801757812,8100,0.0,0.0,0.0
2024-02-08 00:00:00-05:00,97.10289102360048,97.12215423583984,97.10289102360048,97.12215423583984,25800,0.0,0.0,0.0
2024-02-09 00:00:00-05:00,97.1221552445918,97.15105373803397,97.1221552445918,97.14141845703125,25100,0.0,0.0,0.0
2024-02-12 00:00:00-05:00,97.15106201171875,97.15106201171875,97.13661276376713,97.15106201171875,105300,0.0,0.0,0.0
2024-02-13 00:00:00-05:00,97.15104739784876,97.16068267822266,97.13178418666645,97.16068267822266,40500,0.0,0.0,0.0
2024-02-14 00:00:00-05:00,97.17031795859656,97.17031795859656,97.15104739784876,97.16068267822266,11700,0.0,0.0,0.0
2024-02-15 00:00:00-05:00,97.2281265258789,97.2281265258789,97.21849124435701,97.2281265258789,14200,0.0,0.0,0.0
2024-02-16 00:00:00-05:00,97.23775482177734,97.23775482177734,97.21848426011796,97.23775482177734,12200,0.0,0.0,0.0
2024-02-20 00:00:00-05:00,97.25701076839114,97.25701076839114,97.23774755773665,97.24737548828125,18900,0.0,0.0,0.0
2024-02-21 00:00:00-05:00,97.26182537887844,97.27628197392184,97.25219744826998,97.25701141357422,26900,0.0,0.0,0.0
2024-02-22 00:00:00-05:00,97.36297974903206,97.36297974903206,97.29554748535156,97.29554748535156,20300,0.0,0.0,0.0
2024-02-23 00:00:00-05:00,97.32445590513889,97.33409118652344,97.31482062375434,97.33409118652344,20500,0.0,0.0,0.0
2024-02-26 00:00:00-05:00,97.33409118652344,97.33890515243257,97.31579076650245,97.33409118652344,16500,0.0,0.0,0.0
2024-02-27 00:00:00-05:00,97.3475782845692,97.35335504369837,97.33409183036812,97.3437271118164,8500,0.0,0.0,0.0
2024-02-28 00:00:00-05:00,97.36298305904953,97.36298305904953,97.34660822650591,97.35334777832031,11000,0.0,0.0,0.0
2024-02-29 00:00:00-05:00,97.41018463319169,97.41788697775185,97.39187686573047,97.4015121459961,73400,0.0,0.0,0.0
2024-03-01 00:00:00-05:00,97.41796167991153,97.42762756347656,97.41796167991153,97.42762756347656,13300,0.397,0.0,0.0
2024-03-04 00:00:00-05:00,97.43730082557866,97.43730082557866,97.41796167991153,97.42762756347656,18500,0.0,0.0,0.0
2024-03-05 00:00:00-05:00,97.43729481710768,97.45663396158226,97.43729481710768,97.44696807861328,14800,0.0,0.0,0.0
2024-03-06 00:00:00-05:00,97.44697626709771,97.46631541319735,97.44697626709771,97.4566421508789,9700,0.0,0.0,0.0
2024-03-07 00:00:00-05:00,97.52432957901462,97.52432957901462,97.50209067020941,97.51466369628906,8600,0.0,0.0,0.0
2024-03-08 00:00:00-05:00,97.51659687283417,97.52432957901462,97.50499043502707,97.51466369628906,15800,0.0,0.0,0.0
2024-03-11 00:00:00-04:00,97.54369273312616,97.54369273312616,97.5146803229299,97.53401947021484,27000,0.0,0.0,0.0
2024-03-12 00:00:00-04:00,97.5533447265625,97.5533447265625,97.52819867559826,97.5533447265625,19400,0.0,0.0,0.0
